Month,Year,Store,Day,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,FormattedDate,FormattedHolidayFlag,HolidayType,Real_Weekly_Sales
9,2010,23,3,1405119.23,0,72.91,2.735,132.7248387,5.326,3-Sep-10,Not Holiday,Non-Holiday,1058670.889
9,2010,29,3,579272.38,0,75.85,2.735,132.7248387,10.409,3-Sep-10,Not Holiday,Non-Holiday,436446.0983
9,2010,23,17,1159132.58,0,55.3,2.716,132.7670667,5.326,17-Sep-10,Not Holiday,Non-Holiday,873057.3092
9,2010,43,17,725043.04,0,78.86,2.582,203.4499286,9.816,17-Sep-10,Not Holiday,Non-Holiday,356374.1924
9,2010,38,17,336253.19,0,82.45,3.028,126.1454667,14.18,17-Sep-10,Not Holiday,Non-Holiday,266559.8684
9,2010,12,17,852882.61,0,82.45,3.028,126.1454667,14.18,17-Sep-10,Not Holiday,Non-Holiday,676110.3925
9,2010,34,17,885445.47,0,70.71,2.594,126.1454667,9.816,17-Sep-10,Not Holiday,Non-Holiday,701924.1303
9,2010,6,17,1308537.75,0,81.78,2.582,213.0398643,6.973,17-Sep-10,Not Holiday,Non-Holiday,614222.0163
9,2010,27,17,1629978.46,0,64.5,2.846,136.6338071,7.982,17-Sep-10,Not Holiday,Non-Holiday,1192953.995
9,2010,5,17,282558.65,0,82.28,2.582,212.0769346,6.496,17-Sep-10,Not Holiday,Non-Holiday,133234.0316
9,2010,35,17,831443.61,0,64.5,2.706,136.6338071,8.861,17-Sep-10,Not Holiday,Non-Holiday,608519.6831
9,2010,8,17,836707.85,0,75.32,2.582,214.8785562,6.315,17-Sep-10,Not Holiday,Non-Holiday,389386.3887
9,2010,4,17,1899959.61,0,64.91,2.594,126.1454667,7.372,17-Sep-10,Not Holiday,Non-Holiday,1506165.588
9,2010,20,17,1948359.78,0,65.28,2.706,204.7513279,7.527,17-Sep-10,Not Holiday,Non-Holiday,951573.6967
9,2010,42,17,536871.58,0,85.52,3.028,126.1454667,9.199,17-Sep-10,Not Holiday,Non-Holiday,425597.2046
9,2010,40,17,855046.95,0,55.34,2.716,132.7670667,5.326,17-Sep-10,Not Holiday,Non-Holiday,644020.3668
9,2010,24,17,1273295.46,0,60.31,2.846,132.7670667,8.117,17-Sep-10,Not Holiday,Non-Holiday,959044.6574
9,2010,45,17,716987.58,0,66.55,2.706,182.622509,8.743,17-Sep-10,Not Holiday,Non-Holiday,392606.3572
9,2010,9,17,463448.59,0,81.19,2.582,215.0615285,6.442,17-Sep-10,Not Holiday,Non-Holiday,215495.8133
9,2010,1,17,1430378.67,0,82.11,2.582,211.5224596,7.787,17-Sep-10,Not Holiday,Non-Holiday,676230.1614
9,2010,17,17,871264.25,0,58.53,2.875,126.1454667,6.697,17-Sep-10,Not Holiday,Non-Holiday,690682.1726
9,2010,29,17,463752.89,0,62.49,2.716,132.7670667,10.409,17-Sep-10,Not Holiday,Non-Holiday,349298.1366
9,2010,11,17,1215676.31,0,83.04,2.582,214.8322484,7.346,17-Sep-10,Not Holiday,Non-Holiday,565872.3581
9,2010,28,17,1159812.35,0,82.45,3.028,126.1454667,14.18,17-Sep-10,Not Holiday,Non-Holiday,919424.5186
9,2010,25,17,628989.88,0,60.13,2.706,204.7513279,7.527,17-Sep-10,Not Holiday,Non-Holiday,307196.9723
9,2010,14,17,1953539.85,0,66.55,2.706,182.622509,8.743,17-Sep-10,Not Holiday,Non-Holiday,1069714.714
9,2010,37,17,501251.4,0,82.1,2.582,210.2924504,8.36,17-Sep-10,Not Holiday,Non-Holiday,238359.1988
9,2010,36,17,454694.21,0,82.1,2.55,210.2924504,8.36,17-Sep-10,Not Holiday,Non-Holiday,216219.94
9,2010,22,17,918285.97,0,62.49,2.716,136.6338071,8.433,17-Sep-10,Not Holiday,Non-Holiday,672078.1551
9,2010,16,17,522049.52,0,56.55,2.8,190.4688287,6.868,17-Sep-10,Not Holiday,Non-Holiday,274086.5913
9,2010,13,17,1790279.74,0,66.84,2.875,126.1454667,7.951,17-Sep-10,Not Holiday,Non-Holiday,1419218.452
9,2010,7,17,489408.53,0,48.56,2.8,190.4688287,9.017,17-Sep-10,Not Holiday,Non-Holiday,256949.4092
9,2010,32,17,1043962.36,0,67.17,2.8,190.4688287,9.017,17-Sep-10,Not Holiday,Non-Holiday,548101.4228
9,2010,44,17,279364.13,0,66.84,2.875,126.1454667,7.804,17-Sep-10,Not Holiday,Non-Holiday,221461.8863
9,2010,18,17,997998.21,0,60.94,2.716,132.7670667,9.342,17-Sep-10,Not Holiday,Non-Holiday,751691.0894
9,2010,41,17,1111170.91,0,62.4,2.8,190.4688287,7.335,17-Sep-10,Not Holiday,Non-Holiday,583387.2753
9,2010,10,17,1716755.78,0,85.52,3.028,126.1454667,9.199,17-Sep-10,Not Holiday,Non-Holiday,1360933.393
9,2010,3,17,363064.64,0,82.36,2.582,214.8322484,7.346,17-Sep-10,Not Holiday,Non-Holiday,168999.1343
9,2010,26,17,923473.7,0,50.08,2.716,132.7670667,8.445,17-Sep-10,Not Holiday,Non-Holiday,695559.3152
9,2010,33,17,246277.18,0,89.43,3.028,126.1454667,9.495,17-Sep-10,Not Holiday,Non-Holiday,195232.6837
9,2010,39,17,1252915.43,0,81.83,2.582,210.2924504,8.36,17-Sep-10,Not Holiday,Non-Holiday,595796.6763
9,2010,3,24,355626.87,0,76.9,2.624,214.9084516,7.346,24-Sep-10,Not Holiday,Non-Holiday,165478.3083
9,2010,7,24,488008.83,0,47.55,2.793,190.5713264,9.017,24-Sep-10,Not Holiday,Non-Holiday,256076.7347
9,2010,37,24,494265.48,0,79.17,2.624,210.3664469,8.36,24-Sep-10,Not Holiday,Non-Holiday,234954.5221
9,2010,35,24,758069.78,0,67.08,2.713,136.6317821,8.861,24-Sep-10,Not Holiday,Non-Holiday,554826.826
9,2010,41,24,1110941.78,0,60.11,2.793,190.5713264,7.335,24-Sep-10,Not Holiday,Non-Holiday,582953.2706
9,2010,40,24,844373.31,0,55.63,2.718,132.7619333,5.326,24-Sep-10,Not Holiday,Non-Holiday,636005.5846
9,2010,29,24,465338.41,0,65.14,2.718,132.7619333,10.409,24-Sep-10,Not Holiday,Non-Holiday,350505.9006
9,2010,16,24,511330.32,0,58.19,2.793,190.5713264,6.868,24-Sep-10,Not Holiday,Non-Holiday,268314.4047
9,2010,8,24,773725.08,0,72.21,2.624,214.9547795,6.315,24-Sep-10,Not Holiday,Non-Holiday,359947.8373
9,2010,17,24,852876.29,0,58.39,2.872,126.1900333,6.697,24-Sep-10,Not Holiday,Non-Holiday,675866.6019
9,2010,13,24,1705655.09,0,68.22,2.872,126.1900333,7.951,24-Sep-10,Not Holiday,Non-Holiday,1351655.947
9,2010,34,24,867539.07,0,69.78,2.642,126.1900333,9.816,24-Sep-10,Not Holiday,Non-Holiday,687486.2042
9,2010,38,24,330604.9,0,81.77,2.939,126.1900333,14.18,24-Sep-10,Not Holiday,Non-Holiday,261989.7082
9,2010,33,24,231976.84,0,91.18,2.939,126.1900333,9.495,24-Sep-10,Not Holiday,Non-Holiday,183831.3486
9,2010,11,24,1170103.25,0,77.36,2.624,214.9084516,7.346,24-Sep-10,Not Holiday,Non-Holiday,544465.9069
9,2010,12,24,851919.34,0,81.77,2.939,126.1900333,14.18,24-Sep-10,Not Holiday,Non-Holiday,675108.2615
9,2010,36,24,419348.59,0,79.17,2.578,210.3664469,8.36,24-Sep-10,Not Holiday,Non-Holiday,199341.956
9,2010,18,24,950862.92,0,64.82,2.718,132.7619333,9.342,24-Sep-10,Not Holiday,Non-Holiday,716216.5361
9,2010,4,24,1810684.68,0,60.96,2.642,126.1900333,7.372,24-Sep-10,Not Holiday,Non-Holiday,1434887.235
9,2010,14,24,1879891.13,0,68.59,2.713,182.6696737,8.743,24-Sep-10,Not Holiday,Non-Holiday,1029120.539
9,2010,43,24,650263.95,0,77.42,2.624,203.5216786,9.816,24-Sep-10,Not Holiday,Non-Holiday,319505.988
9,2010,20,24,1789687.65,0,69.37,2.713,204.8182126,7.527,24-Sep-10,Not Holiday,Non-Holiday,873793.2175
9,2010,28,24,1111797.21,0,81.77,2.939,126.1900333,14.18,24-Sep-10,Not Holiday,Non-Holiday,881049.9379
9,2010,5,24,293131.58,0,78.53,2.624,212.1519404,6.496,24-Sep-10,Not Holiday,Non-Holiday,138170.5863
9,2010,10,24,1655036.75,0,85.75,2.939,126.1900333,9.199,24-Sep-10,Not Holiday,Non-Holiday,1311543.16
9,2010,27,24,1597002.71,0,67.08,2.837,136.6317821,7.982,24-Sep-10,Not Holiday,Non-Holiday,1168836.917
9,2010,6,24,1275591.84,0,76.49,2.624,213.1152886,6.973,24-Sep-10,Not Holiday,Non-Holiday,598545.4391
9,2010,26,24,868636.3,0,52.47,2.718,132.7619333,8.445,24-Sep-10,Not Holiday,Non-Holiday,654281.147
9,2010,39,24,1199449.54,0,78.5,2.624,210.3664469,8.36,24-Sep-10,Not Holiday,Non-Holiday,570171.5068
9,2010,9,24,452905.22,0,77.15,2.624,215.1378313,6.442,24-Sep-10,Not Holiday,Non-Holiday,210518.6323
9,2010,23,24,1099055.65,0,57.75,2.718,132.7619333,5.326,24-Sep-10,Not Holiday,Non-Holiday,827839.4436
9,2010,45,24,678228.58,0,68.59,2.713,182.6696737,8.743,24-Sep-10,Not Holiday,Non-Holiday,371286.9062
9,2010,32,24,1067432.1,0,64.19,2.793,190.5713264,9.017,24-Sep-10,Not Holiday,Non-Holiday,560122.0919
9,2010,44,24,281313.78,0,68.22,2.872,126.1900333,7.804,24-Sep-10,Not Holiday,Non-Holiday,222928.6835
9,2010,24,24,1169413.27,0,64.3,2.837,132.7619333,8.117,24-Sep-10,Not Holiday,Non-Holiday,880834.7701
9,2010,1,24,1351791.03,0,80.94,2.624,211.5972246,7.787,24-Sep-10,Not Holiday,Non-Holiday,638851.0211
9,2010,25,24,607819.33,0,65.06,2.713,204.8182126,7.527,24-Sep-10,Not Holiday,Non-Holiday,296760.3917
9,2010,22,24,902779.25,0,65.14,2.718,136.6317821,8.433,24-Sep-10,Not Holiday,Non-Holiday,660738.8384
9,2010,42,24,492262.96,0,85.75,2.939,126.1900333,9.199,24-Sep-10,Not Holiday,Non-Holiday,390096.545
12,2010,4,3,2102530.17,0,46.4,2.727,126.7313333,7.127,3-Dec-10,Not Holiday,Non-Holiday,1659045.254
12,2010,39,3,1431910.98,0,53.55,2.708,210.376263,8.476,3-Dec-10,Not Holiday,Non-Holiday,680642.8442
12,2010,12,3,1069533.17,0,43.33,3.041,126.7313333,14.313,3-Dec-10,Not Holiday,Non-Holiday,843937.4401
12,2010,9,3,578164.82,0,49.89,2.708,215.1445203,6.56,3-Dec-10,Not Holiday,Non-Holiday,268733.2307
12,2010,35,3,982598.88,0,41.81,3.046,136.6075714,8.763,3-Dec-10,Not Holiday,Non-Holiday,719285.8126
12,2010,19,3,1615987.96,0,36.64,3.2,132.7566667,8.067,3-Dec-10,Not Holiday,Non-Holiday,1217255.6
12,2010,43,3,557543.62,0,44.56,2.708,203.5714286,10.21,3-Dec-10,Not Holiday,Non-Holiday,273881.0765
12,2010,5,3,344490.88,0,51.31,2.708,212.1613951,6.768,3-Dec-10,Not Holiday,Non-Holiday,162372.0846
12,2010,30,3,407112.22,0,50.43,2.708,211.265543,8.163,3-Dec-10,Not Holiday,Non-Holiday,192701.6655
12,2010,20,3,2416051.17,0,35.47,3.046,204.8249189,7.484,3-Dec-10,Not Holiday,Non-Holiday,1179568.962
12,2010,31,3,1338716.37,0,50.43,2.708,211.265543,8.163,3-Dec-10,Not Holiday,Non-Holiday,633665.2684
12,2010,27,3,1884343.67,0,41.81,3.2,136.6075714,8.021,3-Dec-10,Not Holiday,Non-Holiday,1379384.503
12,2010,16,3,512260.59,0,23.68,2.712,190.9931437,6.986,3-Dec-10,Not Holiday,Non-Holiday,268208.8896
12,2010,15,3,754134.95,0,36,3.2,132.7566667,8.067,3-Dec-10,Not Holiday,Non-Holiday,568058.0635
12,2010,42,3,500250.8,0,51.17,3.041,126.7313333,9.003,3-Dec-10,Not Holiday,Non-Holiday,394733.3205
12,2010,38,3,351925.36,0,43.33,3.041,126.7313333,14.313,3-Dec-10,Not Holiday,Non-Holiday,277694.0405
12,2010,26,3,1016143.64,0,27.73,3.065,132.7566667,8.149,3-Dec-10,Not Holiday,Non-Holiday,765418.1634
12,2010,8,3,952766.93,0,42.85,2.708,214.9616381,6.433,3-Dec-10,Not Holiday,Non-Holiday,443226.4931
12,2010,32,3,1200892.56,0,35.18,2.712,190.9931437,9.137,3-Dec-10,Not Holiday,Non-Holiday,628762.1308
12,2010,29,3,642678.53,0,39.42,3.065,132.7566667,10.524,3-Dec-10,Not Holiday,Non-Holiday,484102.6413
12,2010,33,3,209986.25,0,52.82,3.041,126.7313333,9.265,3-Dec-10,Not Holiday,Non-Holiday,165694.0273
12,2010,11,3,1380522.64,0,55.9,2.708,214.9153531,7.564,3-Dec-10,Not Holiday,Non-Holiday,642356.4534
12,2010,37,3,508213.14,0,54.44,2.708,210.376263,8.476,3-Dec-10,Not Holiday,Non-Holiday,241573.4231
12,2010,44,3,264214.12,0,25.8,2.812,126.7313333,7.61,3-Dec-10,Not Holiday,Non-Holiday,208483.6584
12,2010,25,3,885572.96,0,32.41,3.046,204.8249189,7.484,3-Dec-10,Not Holiday,Non-Holiday,432356.0652
12,2010,3,3,476420.77,0,53.76,2.708,214.9153531,7.564,3-Dec-10,Not Holiday,Non-Holiday,221678.332
12,2010,7,3,552811.62,0,21.88,2.712,190.9931437,9.137,3-Dec-10,Not Holiday,Non-Holiday,289440.5575
12,2010,34,3,1001512.21,0,34.7,2.727,126.7313333,10.21,3-Dec-10,Not Holiday,Non-Holiday,790264.0838
12,2010,40,3,1000582.06,0,33.6,3.065,132.7566667,5.287,3-Dec-10,Not Holiday,Non-Holiday,753696.2812
12,2010,6,3,1677067.24,0,52.3,2.708,213.123851,7.007,3-Dec-10,Not Holiday,Non-Holiday,786897.962
12,2010,28,3,1447916.29,0,43.33,3.041,126.7313333,14.313,3-Dec-10,Not Holiday,Non-Holiday,1142508.528
12,2010,1,3,1548033.78,0,49.27,2.708,211.607193,7.838,3-Dec-10,Not Holiday,Non-Holiday,731560.094
12,2010,10,3,2251206.64,0,51.17,3.041,126.7313333,9.003,3-Dec-10,Not Holiday,Non-Holiday,1776361.521
12,2010,24,3,1413302.7,0,37.08,3.2,132.7566667,8.275,3-Dec-10,Not Holiday,Non-Holiday,1064581.339
12,2010,14,3,2258489.63,0,40.93,3.046,182.6676154,8.724,3-Dec-10,Not Holiday,Non-Holiday,1236393.011
12,2010,21,3,829210.73,0,50.43,2.708,211.265543,8.163,3-Dec-10,Not Holiday,Non-Holiday,392496.9109
12,2010,41,3,1220115.75,0,33,2.712,190.9931437,7.508,3-Dec-10,Not Holiday,Non-Holiday,638826.9895
12,2010,45,3,879244.9,0,40.93,3.046,182.6676154,8.724,3-Dec-10,Not Holiday,Non-Holiday,481335.9489
12,2010,36,3,360266.09,0,54.44,2.694,210.376263,8.476,3-Dec-10,Not Holiday,Non-Holiday,171248.4502
12,2010,18,3,1211026.13,0,37.09,3.065,132.7566667,9.331,3-Dec-10,Not Holiday,Non-Holiday,912214.9268
12,2010,17,3,926573.81,0,22.47,2.812,126.7313333,6.885,3-Dec-10,Not Holiday,Non-Holiday,731132.3773
12,2010,23,3,1617025.41,0,34.3,3.065,132.7566667,5.287,3-Dec-10,Not Holiday,Non-Holiday,1218037.068
12,2010,22,3,1230514.58,0,39.42,3.065,136.6075714,8.572,3-Dec-10,Not Holiday,Non-Holiday,900766.0171
12,2010,2,3,2015781.27,0,49.33,2.708,211.265543,8.163,3-Dec-10,Not Holiday,Non-Holiday,954145.7833
12,2010,13,3,2083379.89,0,25.8,2.812,126.7313333,7.795,3-Dec-10,Not Holiday,Non-Holiday,1643934.326
12,2010,24,10,1593012.75,0,27.11,3.255,132.6764,8.275,10-Dec-10,Not Holiday,Non-Holiday,1200675.29
12,2010,1,10,1682614.26,0,46.33,2.843,211.4659526,7.838,10-Dec-10,Not Holiday,Non-Holiday,795690.3886
12,2010,10,10,2411790.21,0,60.51,3.091,126.7934,9.003,10-Dec-10,Not Holiday,Non-Holiday,1902141.76
12,2010,42,10,585175.24,0,60.51,3.091,126.7934,9.003,10-Dec-10,Not Holiday,Non-Holiday,461518.691
12,2010,16,10,570103.64,0,32.02,2.728,190.9741069,6.986,10-Dec-10,Not Holiday,Non-Holiday,298524.0509
12,2010,22,10,1367202.84,0,28.43,3.132,136.5255714,8.572,10-Dec-10,Not Holiday,Non-Holiday,1001426.199
12,2010,2,10,2378726.55,0,45.5,2.843,211.1247993,8.163,10-Dec-10,Not Holiday,Non-Holiday,1126692.155
12,2010,4,10,2302504.86,0,42.4,2.86,126.7934,7.127,10-Dec-10,Not Holiday,Non-Holiday,1815950.089
12,2010,5,10,352811.53,0,48.27,2.843,212.0193491,6.768,10-Dec-10,Not Holiday,Non-Holiday,166405.3453
12,2010,12,10,1121934.15,0,50.01,3.203,126.7934,14.313,10-Dec-10,Not Holiday,Non-Holiday,884852.169
12,2010,7,10,599730.07,0,24.24,2.728,190.9741069,9.137,10-Dec-10,Not Holiday,Non-Holiday,314037.3738
12,2010,19,10,1799070.98,0,25.12,3.255,132.6764,8.067,10-Dec-10,Not Holiday,Non-Holiday,1355984.169
12,2010,17,10,962475.55,0,31.64,2.817,126.7934,6.885,10-Dec-10,Not Holiday,Non-Holiday,759089.6293
12,2010,31,10,1475685.1,0,46.35,2.843,211.1247993,8.163,10-Dec-10,Not Holiday,Non-Holiday,698963.4116
12,2010,25,10,964729.18,0,22.65,3.109,204.6877378,7.484,10-Dec-10,Not Holiday,Non-Holiday,471317.5251
12,2010,33,10,253050.1,0,60.72,3.091,126.7934,9.265,10-Dec-10,Not Holiday,Non-Holiday,199576.713
12,2010,13,10,2461468.35,0,36.78,2.817,126.7934,7.795,10-Dec-10,Not Holiday,Non-Holiday,1941322.143
12,2010,15,10,847294.04,0,23.97,3.255,132.6764,8.067,10-Dec-10,Not Holiday,Non-Holiday,638616.9959
12,2010,20,10,2752122.08,0,24.27,3.109,204.6877378,7.484,10-Dec-10,Not Holiday,Non-Holiday,1344546.63
12,2010,44,10,278253.28,0,36.78,2.817,126.7934,7.61,10-Dec-10,Not Holiday,Non-Holiday,219454.0725
12,2010,11,10,1564516.43,0,53.33,2.843,214.7693037,7.564,10-Dec-10,Not Holiday,Non-Holiday,728463.7064
12,2010,36,10,404545.03,0,51.83,2.813,210.2372494,8.476,10-Dec-10,Not Holiday,Non-Holiday,192423.0987
12,2010,23,10,1872365.99,0,20.12,3.132,132.6764,5.287,10-Dec-10,Not Holiday,Non-Holiday,1411227.611
12,2010,18,10,1416168.98,0,25.64,3.132,132.6764,9.331,10-Dec-10,Not Holiday,Non-Holiday,1067385.745
12,2010,38,10,355965.23,0,50.01,3.203,126.7934,14.313,10-Dec-10,Not Holiday,Non-Holiday,280744.2895
12,2010,9,10,618121.82,0,46.1,2.843,214.9981378,6.56,10-Dec-10,Not Holiday,Non-Holiday,287501.0111
12,2010,35,10,1108580.19,0,30.83,3.109,136.5255714,8.763,10-Dec-10,Not Holiday,Non-Holiday,811994.5433
12,2010,3,10,467642.03,0,51.13,2.843,214.7693037,7.564,10-Dec-10,Not Holiday,Non-Holiday,217741.5589
12,2010,43,10,598679.02,0,52.52,2.843,203.4475786,10.21,10-Dec-10,Not Holiday,Non-Holiday,294266.9675
12,2010,40,10,1111215.72,0,21.64,3.132,132.6764,5.287,10-Dec-10,Not Holiday,Non-Holiday,837538.3414
12,2010,21,10,943891.64,0,46.35,2.843,211.1247993,8.163,10-Dec-10,Not Holiday,Non-Holiday,447077.5783
12,2010,39,10,1630564.48,0,50.81,2.843,210.2372494,8.476,10-Dec-10,Not Holiday,Non-Holiday,775583.0542
12,2010,34,10,1086661.02,0,41.93,2.86,126.7934,10.21,10-Dec-10,Not Holiday,Non-Holiday,857032.7951
12,2010,28,10,1466164.49,0,50.01,3.203,126.7934,14.313,10-Dec-10,Not Holiday,Non-Holiday,1156341.332
12,2010,6,10,1834737.58,0,48.46,2.843,212.9804059,7.007,10-Dec-10,Not Holiday,Non-Holiday,861458.392
12,2010,41,10,1434908.13,0,33.9,2.728,190.9741069,7.508,10-Dec-10,Not Holiday,Non-Holiday,751362.6603
12,2010,45,10,1002364.34,0,30.54,3.109,182.5519538,8.724,10-Dec-10,Not Holiday,Non-Holiday,549084.4218
12,2010,8,10,1069061.63,0,42.47,2.843,214.8155214,6.433,10-Dec-10,Not Holiday,Non-Holiday,497664.9839
12,2010,37,10,511207.52,0,51.83,2.843,210.2372494,8.476,10-Dec-10,Not Holiday,Non-Holiday,243157.4431
12,2010,30,10,428631.91,0,46.35,2.843,211.1247993,8.163,10-Dec-10,Not Holiday,Non-Holiday,203023.0041
12,2010,26,10,1149612.04,0,16.6,3.132,132.6764,8.149,10-Dec-10,Not Holiday,Non-Holiday,866478.1679
12,2010,27,10,2139733.68,0,30.83,3.255,136.5255714,8.021,10-Dec-10,Not Holiday,Non-Holiday,1567276.854
12,2010,29,10,713834.74,0,28.43,3.132,132.6764,10.524,10-Dec-10,Not Holiday,Non-Holiday,538026.9136
12,2010,14,10,2600519.26,0,30.54,3.109,182.5519538,8.724,10-Dec-10,Not Holiday,Non-Holiday,1424536.526
12,2010,32,10,1377322.73,0,36.62,2.728,190.9741069,9.137,10-Dec-10,Not Holiday,Non-Holiday,721209.1484
12,2010,15,17,983825.15,0,25.3,3.301,132.6804516,8.067,17-Dec-10,Not Holiday,Non-Holiday,741499.6996
12,2010,18,17,1588430.71,0,27.4,3.139,132.6804516,9.331,17-Dec-10,Not Holiday,Non-Holiday,1197185.185
12,2010,11,17,1843971.15,0,54.63,2.869,214.704919,7.564,17-Dec-10,Not Holiday,Non-Holiday,858839.7316
12,2010,3,17,498159.39,0,52.2,2.869,214.704919,7.564,17-Dec-10,Not Holiday,Non-Holiday,232020.483
12,2010,44,17,278646.35,0,35.21,2.842,126.8794839,7.61,17-Dec-10,Not Holiday,Non-Holiday,219614.9775
12,2010,4,17,2740057.14,0,46.57,2.884,126.8794839,7.127,17-Dec-10,Not Holiday,Non-Holiday,2159574.626
12,2010,32,17,1557776.1,0,36.07,2.778,191.0303376,9.137,17-Dec-10,Not Holiday,Non-Holiday,815460.0571
12,2010,40,17,1179036.3,0,23.01,3.139,132.6804516,5.287,17-Dec-10,Not Holiday,Non-Holiday,888628.4948
12,2010,22,17,1527682.99,0,30.46,3.139,136.5292811,8.572,17-Dec-10,Not Holiday,Non-Holiday,1118941.65
12,2010,34,17,1227148.13,0,42.64,2.884,126.8794839,10.21,17-Dec-10,Not Holiday,Non-Holiday,967176.1677
12,2010,20,17,2819193.17,0,24.07,3.14,204.6321194,7.484,17-Dec-10,Not Holiday,Non-Holiday,1377688.497
